seq1312	seq1312
seq77890	seq77590
seq77890	seq77910
seq77890	seq77912
seq77890	seq77850
seq77890	seq77726
seq77890	seq77758
seq77890	seq77686
seq78306	seq78306
seq78306	seq78307
seq78306	seq78205
seq78306	seq19442
seq91682	seq91682
seq92034	seq92034
seq92034	seq92043
seq92034	seq92029
seq92226	seq92226
seq92738	seq92738
seq92738	seq92739
seq92738	seq92652
seq92898	seq92898
seq92898	seq92897
seq93090	seq93090
seq93090	seq92870
seq93090	seq93068
seq93090	seq92986
seq93250	seq93250
seq93250	seq132971
seq93250	seq132970
seq93314	seq93314
seq93314	seq93315
seq93314	seq93159
seq93314	seq93160
seq93314	seq93264
seq93314	seq93265
seq93314	seq84720
seq93314	seq124027
seq93314	seq124028
seq93314	seq97592
seq93314	seq97730
seq93314	seq97699
seq93314	seq97700
seq93314	seq97703
seq93314	seq97710
seq93314	seq97721
seq93314	seq97530
seq93314	seq97467
seq93314	seq97531
seq93314	seq97532
seq93314	seq97628
seq93314	seq97533
seq93314	seq97629
seq93314	seq97566
seq93314	seq97731
seq93314	seq97704
seq93314	seq97709
seq93314	seq97468
seq93314	seq97565
seq93314	seq38505
seq93442	seq93442
seq93442	seq93560
seq93442	seq93561
seq93442	seq93434
seq93442	seq93435
seq93538	seq93538
seq93602	seq93602
seq93602	seq141515
seq93602	seq93176
seq93602	seq199266
seq93602	seq93261
seq93602	seq93625
seq93602	seq93503
seq93794	seq93794
seq93794	seq93795
seq93794	seq93816
seq93794	seq93817
seq93794	seq93787
seq93794	seq93851
seq93794	seq93852
seq93794	seq98000
seq93794	seq97774
seq93794	seq97775
seq93794	seq98001
seq93794	seq166255
seq93794	seq166254
seq93794	seq205497
seq93954	seq93954
seq93954	seq93955
seq93954	seq201593
seq93954	seq201502
seq93954	seq201503
seq94306	seq94306
seq94306	seq82721
seq94306	seq94197
seq94306	seq46155
seq94306	seq82377
seq104290	seq104290
seq104482	seq104482
seq104642	seq104642
seq104642	seq104643
seq104642	seq104679
seq104642	seq104680
seq104642	seq104526
seq104642	seq104527
seq104642	seq104592
seq104642	seq104593
seq104642	seq104501
seq104642	seq104502
seq104642	seq104630
seq104642	seq104601
seq104642	seq104602
seq105090	seq105090
seq105090	seq105089
seq105090	seq216581
seq105090	seq216521
seq105090	seq217880
seq105090	seq109888
seq105090	seq109889
seq105090	seq109794
seq105090	seq109795
seq105090	seq109998
seq105090	seq109999
seq105090	seq110128
seq105090	seq110033
seq105090	seq110129
seq105090	seq110034
seq105090	seq110132
seq105090	seq110133
seq105090	seq110070
seq105090	seq110071
seq105090	seq217881
seq105090	seq110234
seq105090	seq217882
seq105090	seq110235
seq105090	seq109789
seq105218	seq105218
seq105218	seq191682
seq105218	seq191683
seq105218	seq191690
seq105218	seq191722
seq105218	seq191691
seq105218	seq191723
seq105218	seq105299
seq105218	seq191668
seq105218	seq191541
seq105218	seq191669
seq105218	seq105217
seq105218	seq105300
seq105218	seq215803
seq105282	seq105282
seq105282	seq105281
seq105282	seq17102
seq105410	seq105410
seq106018	seq106018
seq106018	seq105952
seq106018	seq106134
seq106018	seq105951
seq106178	seq106178
seq106178	seq20329
seq106178	seq194290
seq106178	seq18532
seq106178	seq18531
seq106178	seq140893
seq106178	seq140894
seq106178	seq61679
seq106178	seq61678
seq106178	seq20368
seq106178	seq20367
seq106178	seq19094
seq106178	seq19095
seq106178	seq19224
seq106178	seq19225
seq106402	seq106402
seq106402	seq63040
seq106402	seq106464
seq106402	seq63010
seq106402	seq62883
seq106402	seq106403
seq106402	seq69028
seq106402	seq215046
seq106402	seq20519
seq106402	seq62951
seq106402	seq20584
seq106402	seq62952
seq106402	seq72552
seq106402	seq63113
seq106402	seq72553
seq106402	seq62986
seq106402	seq72554
seq106402	seq62955
seq106402	seq72523
seq106402	seq72555
seq106402	seq62956
seq106402	seq63086
seq106402	seq63118
seq106402	seq72558
seq106402	seq72559
seq106402	seq72563
seq106402	seq72500
seq106402	seq63061
seq106402	seq69142
seq106402	seq72438
seq106402	seq20439
seq106402	seq62903
seq106402	seq72408
seq106402	seq132536
seq106402	seq63065
seq106402	seq106361
seq106402	seq63066
seq106402	seq72410
seq106402	seq132666
seq106402	seq63067
seq106402	seq72539
seq106402	seq132667
seq106402	seq62908
seq106402	seq63068
seq106402	seq72444
seq106402	seq72540
seq106402	seq20573
seq106402	seq62909
seq106402	seq62910
seq106402	seq69150
seq106402	seq72478
seq106402	seq132670
seq106402	seq69151
seq106434	seq106434
seq106434	seq137854
seq106434	seq99779
seq106434	seq99840
seq106434	seq173100
seq106434	seq100026
seq106434	seq137765
seq106434	seq129032
seq106434	seq204906
seq106434	seq204742
seq106434	seq129315
seq106434	seq129347
seq106434	seq15590
seq106434	seq204711
seq106434	seq205031
seq106434	seq129352
seq106434	seq67690
seq106434	seq129322
seq106434	seq15851
seq106434	seq15633
seq106434	seq15603
seq106434	seq205047
seq106434	seq15577
seq106434	seq67514
seq106434	seq129275
seq106434	seq129339
seq106434	seq129340
seq106434	seq205053
seq106434	seq129374
seq106434	seq15871
seq106434	seq129247
seq106434	seq129311
seq106434	seq121996
seq106434	seq186542
seq106434	seq156559
seq106434	seq209967
seq106434	seq106417
seq106434	seq129020
seq106434	seq38782
seq106434	seq186590
seq106434	seq186682
seq106434	seq191767
seq106434	seq191828
seq106434	seq154680
seq106434	seq483
seq106434	seq55433
seq106434	seq86281
seq106434	seq61258
seq106434	seq55403
seq106434	seq10636
seq106434	seq23308
seq106434	seq61327
seq106434	seq657
seq106434	seq493
seq106434	seq662
seq106434	seq23223
seq106434	seq23367
seq106434	seq28823
seq106434	seq154723
seq106434	seq23370
seq106434	seq10584
seq106434	seq154653
seq106434	seq35351
seq106434	seq211447
seq106434	seq28924
seq106434	seq86174
seq106562	seq106562
seq106562	seq106563
seq106562	seq27415
seq106562	seq167957
seq106562	seq167936
seq106562	seq167937
seq106562	seq167969
seq106562	seq167970
seq106562	seq167973
seq106562	seq167974
seq106562	seq167949
seq106562	seq167950
seq106562	seq167955
seq106562	seq167924
seq106562	seq167956
seq106562	seq167829
seq106562	seq167925
seq106562	seq167830
seq106562	seq167926
seq106562	seq167958
seq106562	seq167927
seq106562	seq167832
seq106562	seq167864
seq106562	seq167833
seq106562	seq167865
seq106562	seq167930
seq106562	seq167931
seq106658	seq106658
seq106658	seq106645
seq106882	seq106882
seq106882	seq106883
seq106882	seq106759
seq106882	seq106760
seq106882	seq106804
seq106882	seq106805
seq106882	seq195160
seq106882	seq150016
seq106882	seq150033
seq106882	seq150047
seq120034	seq120034
seq120098	seq120098
seq120098	seq120099
seq120098	seq119909
seq120098	seq119910
seq120098	seq120039
seq120098	seq120040
seq120098	seq119930
seq120098	seq119931
seq120098	seq120029
seq120098	seq120030
seq120098	seq75087
seq120098	seq75010
seq120098	seq75011
seq120098	seq74990
seq120098	seq74991
seq120098	seq75088
seq120386	seq120386
seq120386	seq120385
seq120418	seq120418
seq120418	seq66339
seq120418	seq120551
seq120418	seq120497
seq120418	seq72182
seq120418	seq62071
seq120418	seq66315
seq120418	seq160597
seq120418	seq40932
seq120418	seq207555
seq120418	seq140041
seq120418	seq140072
seq120418	seq139983
seq120418	seq140240
seq120418	seq139927
seq120418	seq140541
seq120482	seq120482
seq120514	seq120514
seq120514	seq120513
seq120514	seq105007
seq120514	seq72589
seq120514	seq72590
seq120514	seq105008
seq120866	seq120866
seq120866	seq120865
seq120866	seq52828
seq120866	seq1763
seq120866	seq1764
seq120866	seq52829
seq121058	seq121058
seq121346	seq121346
seq121346	seq121303
seq121346	seq121235
seq121346	seq121347
seq121346	seq121304
seq121698	seq121698
seq121698	seq121733
seq121698	seq80142
seq122466	seq122466
seq122466	seq122465
seq123042	seq123042
seq123042	seq122914
seq123042	seq122915
seq123042	seq123043
seq123042	seq122918
seq123042	seq122919
seq123042	seq123113
seq123042	seq123114
seq123042	seq123093
seq123042	seq123030
seq123042	seq123094
seq123042	seq123031
seq146562	seq146562
seq146562	seq146401
seq146562	seq146402
seq146562	seq146563
seq146562	seq146473
seq146562	seq146474
seq146594	seq146594
seq146594	seq146593
seq146626	seq146626
seq146626	seq133506
seq146626	seq153349
seq146626	seq153514
seq146626	seq3275
seq146626	seq3467
seq146626	seq133451
seq146626	seq133489
seq146626	seq153559
seq146626	seq133533
seq146850	seq146850
seq146850	seq146763
seq146850	seq146849
seq146850	seq146754
seq146850	seq146764
seq146850	seq146799
seq147106	seq147106
seq147106	seq147107
seq147106	seq146988
seq147106	seq147148
seq147106	seq147149
seq147490	seq147490
seq147490	seq147520
seq147490	seq147393
seq147490	seq147521
seq147490	seq147491
seq147490	seq147500
seq147490	seq147501
seq147490	seq136030
seq147490	seq136069
seq147490	seq136006
seq147490	seq136007
seq147490	seq136021
seq147490	seq136068
seq147490	seq136022
seq148002	seq148002
seq148002	seq148001
seq148034	seq148034
seq148034	seq148169
seq148034	seq148170
seq148098	seq148098
seq148098	seq147971
seq148098	seq148099
seq148098	seq602
seq148098	seq428
seq148098	seq429
seq148098	seq506
seq148098	seq507
seq148098	seq603
seq148162	seq148162
seq148290	seq148290
seq148290	seq59654
seq148290	seq59655
seq148290	seq25086
seq148290	seq15405
seq148290	seq15406
seq148290	seq65726
seq148290	seq25087
seq148386	seq148386
seq148386	seq148387
seq148386	seq88878
seq148386	seq88879
seq148386	seq721
seq148386	seq722
seq148386	seq204729
seq148386	seq204730
seq148386	seq88830
seq148386	seq88831
seq148386	seq41856
seq148386	seq133920
seq148386	seq41857
seq148386	seq134017
seq148386	seq68674
seq148386	seq134018
seq148386	seq68675
seq148386	seq142952
seq148386	seq167784
seq148386	seq142953
seq148386	seq167785
seq148386	seq41803
seq148386	seq68683
seq148386	seq41804
seq148386	seq68684
seq148386	seq68689
seq148386	seq68690
seq148386	seq68598
seq148386	seq133919
seq148386	seq205792
seq148386	seq63644
seq148386	seq63645
seq148386	seq205791
seq148386	seq57896
seq148386	seq57897
seq148386	seq57834
seq148386	seq57835
seq148386	seq57934
seq148386	seq107854
seq148386	seq57935
seq148386	seq107855
seq148386	seq107891
seq148386	seq107892
seq148386	seq107701
seq148386	seq107702
seq148386	seq57944
seq148386	seq57945
seq148386	seq107933
seq148386	seq107934
seq148386	seq202134
seq148386	seq202133
seq148386	seq9276
seq158338	seq158338
seq158338	seq158337
seq158594	seq158594
seq158594	seq48096
seq158594	seq158700
seq158594	seq108400
seq158594	seq136085
seq158594	seq57526
seq158594	seq48028
seq158594	seq214460
seq158594	seq136157
seq158594	seq19841
seq158594	seq37474
seq158594	seq55810
seq158594	seq25603
seq158594	seq163013
seq158594	seq66630
seq158594	seq163047
seq158594	seq20008
seq158594	seq211048
seq158594	seq137993
seq158594	seq200009
seq158594	seq206313
seq158594	seq143370
seq158594	seq77547
seq158594	seq212971
seq158594	seq55565
seq158594	seq55689
seq158594	seq171668
seq158594	seq55802
seq158594	seq37585
seq158594	seq130227
seq158594	seq157171
seq158594	seq158515
seq158594	seq171731
seq158594	seq95157
seq158594	seq157173
seq158594	seq200087
seq158594	seq199992
seq158594	seq200090
seq158594	seq143420
seq158594	seq136733
seq158594	seq36863
seq158594	seq64383
seq158594	seq170239
seq158594	seq171615
seq158626	seq158626
seq158626	seq158560
seq159074	seq159074
seq159074	seq159108
seq159074	seq159109
seq159522	seq159522
seq159522	seq197244
seq160482	seq160482
seq160482	seq160476
seq160482	seq29007
seq160482	seq41974
seq160482	seq41987
seq160546	seq160546
seq160610	seq160610
seq160642	seq160642
seq160642	seq170090
seq160642	seq170322
seq160642	seq160445
seq161186	seq161186
seq161186	seq161185
seq161282	seq161282
seq161282	seq161281
seq161282	seq161155
seq161282	seq161156
seq168034	seq168034
seq168034	seq94347
seq168066	seq168066
seq168066	seq168067
seq168066	seq168019
seq168066	seq168020
seq168066	seq168024
seq168066	seq168025
seq168066	seq168057
seq168066	seq168185
seq168066	seq168058
seq168194	seq168194
seq168194	seq186468
seq168194	seq186503
seq168194	seq174313
seq168194	seq168192
seq168194	seq174372
seq168194	seq30733
seq168194	seq30900
seq168194	seq168105
seq168194	seq168179
seq168258	seq168258
seq168290	seq168290
seq168290	seq213777
seq168610	seq168610
seq168610	seq168609
seq168770	seq168770
seq168802	seq168802
seq168802	seq168803
seq168802	seq211892
seq169282	seq169282
seq169282	seq169281
seq169570	seq169570
seq169730	seq169730
seq169730	seq169729
seq169986	seq169986
seq169986	seq73195
seq169986	seq73194
seq169986	seq169987
seq169986	seq73222
seq169986	seq101939
seq170018	seq170018
seq170178	seq170178
seq170178	seq170337
seq170178	seq158914
seq170178	seq158924
seq170178	seq170380
seq170178	seq170266
seq170178	seq170299
seq170242	seq170242
seq170242	seq158877
seq170754	seq170754
seq170754	seq170528
seq170754	seq170529
seq170754	seq170765
seq170754	seq170766
seq170754	seq170739
seq170754	seq170740
seq170754	seq153018
seq170754	seq153019
seq170754	seq170750
seq170754	seq170623
seq170754	seq170751
seq170914	seq170914
seq170914	seq100801
seq170914	seq26286
seq170914	seq184490
seq170914	seq109691
seq170914	seq109823
seq171106	seq171106
seq171106	seq109877
seq171106	seq170809
seq171106	seq184282
seq171106	seq184229
seq171106	seq184392
seq171106	seq170875
seq183938	seq183938
seq183938	seq183939
seq183938	seq184054
seq183938	seq129106
seq183938	seq184055
seq184098	seq184098
seq184098	seq184097
seq184130	seq184130
seq184130	seq184129
seq184130	seq135095
seq184130	seq135198
seq184130	seq107126
seq184130	seq107254
seq184130	seq107125
seq184130	seq192568
seq184130	seq50538
seq184130	seq164416
seq184130	seq15521
seq184130	seq164417
seq184130	seq137414
seq184130	seq50539
seq184130	seq72620
seq184130	seq72621
seq184130	seq154998
seq184130	seq154999
seq184130	seq148921
seq184130	seq19834
seq184130	seq148922
seq184130	seq19835
seq184130	seq107255
seq184130	seq135096
seq184130	seq192569
seq184130	seq135199
seq184258	seq184258
seq184258	seq184290
seq184258	seq184363
seq184258	seq184256
seq184258	seq184257
seq184258	seq184289
seq184258	seq184417
seq184258	seq184418
seq184258	seq184259
seq184258	seq184520
seq184258	seq184521
seq184258	seq184364
seq184258	seq184302
seq184258	seq184303
seq184258	seq184540
seq184258	seq184541
seq184258	seq184312
seq184258	seq184273
seq184258	seq184313
seq184642	seq184642
seq184642	seq184750
seq185218	seq185218
seq185218	seq69476
seq185218	seq44500
seq185218	seq61935
seq185218	seq3445
seq185314	seq185314
seq185314	seq80170
seq185314	seq118300
seq185410	seq185410
seq186498	seq186498
seq186498	seq174212
seq186498	seq186377
seq186498	seq186252
seq186498	seq174266
seq186498	seq186299
seq186914	seq186914
seq186914	seq160821
seq193538	seq193538
seq193538	seq107277
seq193538	seq107279
seq193538	seq141679
seq193538	seq208136
seq193538	seq141526
seq193602	seq193602
seq193602	seq193603
seq193602	seq156044
seq193602	seq156045
seq193602	seq33884
seq193602	seq85734
seq193602	seq178676
seq193602	seq82779
seq193602	seq83004
seq193602	seq82834
seq193602	seq83025
seq193602	seq178677
seq193602	seq50329
seq193602	seq31370
seq193602	seq218190
seq193602	seq9135
seq193602	seq31120
seq193602	seq200880
seq193602	seq218077
seq193602	seq178367
seq193602	seq8291
seq193602	seq97155
seq193602	seq72804
seq193602	seq9574
seq193602	seq9575
seq193602	seq38343
seq193602	seq97063
seq193602	seq38344
seq193602	seq72680
seq193602	seq8361
seq193602	seq8362
seq193602	seq64203
seq193602	seq64300
seq193602	seq64301
seq193602	seq160013
seq193602	seq207823
seq193602	seq151512
seq193602	seq9561
seq193602	seq151291
seq193602	seq87516
seq193634	seq193634
seq193634	seq193635
seq193634	seq193662
seq193634	seq27018
seq193634	seq27017
seq193634	seq114977
seq193634	seq167599
seq193634	seq167600
seq193634	seq167519
seq193634	seq67376
seq193634	seq69506
seq193634	seq69507
seq193634	seq67377
seq193762	seq193762
seq193762	seq193980
seq195106	seq195106
seq195170	seq195170
seq195170	seq123724
seq195586	seq195586
seq195586	seq195585
seq195650	seq195650
seq195650	seq72352
seq195650	seq72257
seq195650	seq72258
seq195650	seq72351
seq195650	seq37879
seq195650	seq154283
seq195650	seq13893
seq195650	seq154284
seq195650	seq154298
seq195650	seq154299
seq195650	seq172797
seq195650	seq57644
seq195650	seq110515
seq195650	seq172798
seq195810	seq195810
seq195810	seq90488
seq195810	seq181577
seq195970	seq195970
seq195970	seq195969
seq195970	seq128834
seq195970	seq195938
seq195970	seq195939
seq195970	seq129028
seq195970	seq196038
seq195970	seq196039
seq195970	seq180434
seq195970	seq180504
seq195970	seq195930
seq195970	seq195998
seq195970	seq195999
seq196322	seq196322
seq196322	seq196321
seq213026	seq213026
seq213026	seq212965
seq213026	seq213061
seq213026	seq212966
seq213026	seq212904
seq213026	seq213032
seq213026	seq213033
seq213026	seq213005
seq213026	seq212982
seq213026	seq213078
seq213026	seq212952
seq213026	seq213018
seq213026	seq212930
seq213026	seq213096
seq213410	seq213410
seq213410	seq71107
seq213410	seq113516
seq213410	seq45042
seq213410	seq4673
seq213410	seq171317
seq213410	seq173405
seq213410	seq348
seq213410	seq36764
seq213474	seq213474
seq213762	seq213762
seq213762	seq213761
seq213954	seq213954
seq213954	seq213953
seq213954	seq135937
seq213954	seq33870
seq213954	seq108195
seq213954	seq108196
seq213954	seq108296
seq213954	seq108330
seq213954	seq108331
seq213954	seq108316
seq213954	seq108317
seq213954	seq108223
seq213954	seq72201
seq213954	seq72200
seq213954	seq160233
seq213954	seq52360
seq213954	seq52361
seq213954	seq200941
seq213954	seq135886
seq213954	seq200942
seq213954	seq160335
seq213954	seq200821
seq213954	seq163063
seq213954	seq160125
seq213954	seq89289
seq213954	seq89290
seq213954	seq135954
seq213954	seq160336
seq213954	seq160234
seq213954	seq75449
seq213954	seq75448
seq214082	seq214082
seq214082	seq214074
seq214082	seq214156
seq214082	seq214075
seq214562	seq214562
seq214562	seq214561
seq214818	seq214818
seq214818	seq214817
seq214818	seq154024
seq214818	seq154025
seq214818	seq43795
seq214818	seq43796
seq214818	seq120734
seq214818	seq120733
seq214914	seq214914
seq214914	seq214915
seq214914	seq156135
seq214914	seq156136
seq214914	seq47881
seq214914	seq47882
seq214914	seq31468
seq214914	seq31469
seq214914	seq214799
seq214914	seq214800
seq214914	seq31411
seq214914	seq161395
seq214914	seq31412
seq214914	seq161396
seq214914	seq31478
seq214914	seq146262
seq214914	seq31479
seq214914	seq155960
seq214914	seq155961
seq214914	seq78318
seq214914	seq78215
seq214914	seq78216
seq214914	seq78319
seq214914	seq45740
seq215650	seq215650
seq215842	seq215842
seq215842	seq215843
seq215842	seq215796
seq215842	seq215931
seq215842	seq215932
seq8131	seq8131
seq8195	seq8195
seq8195	seq8194
seq8227	seq8227
seq8483	seq8483
seq8483	seq8592
seq8483	seq8593
seq8483	seq8539
seq8483	seq168208
seq8483	seq168209
seq8483	seq8603
seq8483	seq168123
seq8739	seq8739
seq8771	seq8771
seq8771	seq8772
seq8771	seq8717
seq8771	seq8845
seq8771	seq8718
seq8771	seq8846
seq9027	seq9027
seq9027	seq120202
seq9027	seq9085
seq9123	seq9123
seq9155	seq9155
seq9155	seq9170
seq9155	seq193655
seq9155	seq65304
seq9155	seq65217
seq9155	seq65202
seq9379	seq9379
seq9635	seq9635
seq9635	seq9454
seq19907	seq19907
seq19907	seq192289
seq19907	seq26498
seq19907	seq14279
seq19907	seq44871
seq19907	seq207400
seq19907	seq73193
seq19907	seq44939
seq19907	seq183950
seq19907	seq184014
seq19907	seq44881
seq19907	seq44820
seq19907	seq192405
seq19907	seq26234
seq19907	seq98490
seq19907	seq65051
seq19907	seq192379
seq19907	seq184031
seq19907	seq13954
seq19907	seq57346
seq19907	seq133282
seq19907	seq6469
seq19907	seq53637
seq19907	seq65000
seq19907	seq14310
seq19907	seq9160
seq19907	seq8905
seq19907	seq50829
seq19907	seq60014
seq19907	seq64912
seq19907	seq9011
seq19907	seq30165
seq19907	seq105321
seq19907	seq102762
seq19907	seq62027
seq19907	seq82539
seq19907	seq19724
seq19907	seq89836
seq19907	seq102733
seq19907	seq89775
seq19907	seq143568
seq19907	seq61937
seq19907	seq130804
seq19907	seq13846
seq19907	seq106518
seq19907	seq152630
seq19907	seq4342
seq19907	seq13975
seq19907	seq169626
seq19907	seq1371
seq19907	seq30077
seq19907	seq53597
seq19907	seq95326
seq19907	seq95239
seq19907	seq61835
seq19907	seq95247
seq19907	seq95318
seq19907	seq95128
seq19907	seq61754
seq19907	seq13823
seq20163	seq20163
seq20163	seq20164
seq20163	seq51391
seq20163	seq35332
seq20163	seq115620
seq21027	seq21027
seq21219	seq21219
seq21283	seq21283
seq21283	seq21282
seq21283	seq21160
seq21283	seq21161
seq21763	seq21763
seq21795	seq21795
seq22275	seq22275
seq22275	seq84585
seq22339	seq22339
seq22339	seq22338
seq22691	seq22691
seq22691	seq115082
seq22787	seq22787
seq39107	seq39107
seq39107	seq39113
seq39107	seq39226
seq39555	seq39555
seq39555	seq39573
seq39875	seq39875
seq39875	seq39876
seq39875	seq74394
seq39875	seq74395
seq40099	seq40099
seq40483	seq40483
seq40483	seq40452
seq40483	seq123476
seq40899	seq40899
seq40899	seq14464
seq40899	seq32257
seq40899	seq60706
seq40899	seq40803
seq40899	seq32324
seq40899	seq40868
seq40899	seq15366
seq40899	seq188232
seq40899	seq32203
seq40899	seq32270
seq40899	seq15321
seq40899	seq50745
seq40899	seq188281
seq40899	seq14426
seq40899	seq50586
seq41443	seq41443
seq41443	seq210753
seq41443	seq210726
seq41443	seq134984
seq41443	seq68905
seq41443	seq68906
seq41443	seq210795
seq41443	seq210767
seq41443	seq210768
seq41443	seq210832
seq41443	seq210833
seq41443	seq168018
seq41443	seq210709
seq41443	seq210807
seq41443	seq41306
seq41443	seq210781
seq41443	seq19230
seq41443	seq91664
seq41443	seq41305
seq41443	seq210688
seq41443	seq210727
seq41443	seq210794
seq41443	seq91663
seq41443	seq210808
seq41443	seq19231
seq41443	seq210752
seq41443	seq210774
seq41443	seq210780
seq41443	seq210687
seq41571	seq41571
seq41571	seq183280
seq41571	seq183034
seq41667	seq41667
seq41667	seq41826
seq41667	seq41641
seq41667	seq41666
seq41667	seq41827
seq41667	seq41642
seq41955	seq41955
seq41955	seq41956
seq41955	seq41910
seq41955	seq42007
seq41955	seq41875
seq41955	seq41989
seq41955	seq42062
seq41955	seq41909
seq41955	seq42006
seq41955	seq41876
seq41955	seq41990
seq41955	seq42063
seq41955	seq70143
seq41955	seq70122
seq41955	seq70123
seq41955	seq70142
seq42179	seq42179
seq42179	seq33574
seq42179	seq55114
seq42179	seq11226
seq42179	seq134299
seq55683	seq55683
seq55683	seq55537
seq56099	seq56099
seq56291	seq56291
seq56419	seq56419
seq56419	seq56509
seq56899	seq56899
seq56963	seq56963
seq56963	seq56841
seq56963	seq56971
seq56963	seq56753
seq56963	seq56982
seq56963	seq56951
seq57667	seq57667
seq57667	seq57666
seq58083	seq58083
seq58083	seq58081
seq58083	seq58082
seq58083	seq58084
seq58083	seq95155
seq58083	seq58074
seq58083	seq58075
seq58083	seq42708
seq58083	seq42661
seq58083	seq42662
seq58147	seq58147
seq58147	seq166689
seq58147	seq176609
seq58147	seq166755
seq58147	seq166660
seq58147	seq176582
seq58147	seq58187
seq58147	seq15809
seq58147	seq58433
seq58147	seq150564
seq58147	seq15654
seq58147	seq15818
seq58147	seq150635
seq58147	seq15725
seq58147	seq150780
seq58147	seq58413
seq58147	seq166765
seq58147	seq176589
seq58147	seq166799
seq58147	seq15827
seq58147	seq166612
seq58147	seq58197
seq58147	seq166614
seq58147	seq176663
seq58147	seq115864
seq58147	seq166745
seq58147	seq115707
seq58147	seq15805
seq58147	seq15679
seq68099	seq68099
seq68099	seq170659
seq68099	seq170660
seq68099	seq50087
seq68099	seq50247
seq68099	seq50088
seq68099	seq170638
seq68099	seq50138
seq68995	seq68995
seq68995	seq68988
seq68995	seq68994
seq68995	seq69044
seq68995	seq68989
seq69059	seq69059
seq69059	seq124103
seq69059	seq124104
seq69059	seq69033
seq69059	seq69034
seq69059	seq69038
seq69059	seq69039
seq69059	seq124117
seq69059	seq124118
seq69059	seq124029
seq69059	seq124030
seq69315	seq69315
seq69315	seq69316
seq69315	seq69374
seq69315	seq69375
seq69347	seq69347
seq69347	seq93997
seq69347	seq13640
seq69347	seq93996
seq69571	seq69571
seq69571	seq69572
seq69571	seq69580
seq69571	seq69581
seq69795	seq69795
seq69795	seq145990
seq69795	seq145959
seq69795	seq69736
seq69795	seq55818
seq69795	seq69900
seq69795	seq165869
seq69795	seq125558
seq69795	seq145878
seq69795	seq125463
seq69795	seq125432
seq69795	seq125277
seq69795	seq125469
seq69795	seq55743
seq70083	seq70083
seq70083	seq70084
seq70083	seq70121
seq70403	seq70403
seq70403	seq70402
seq70403	seq207916
seq70403	seq207915
seq70691	seq70691
seq70691	seq70692
seq70691	seq70827
seq70691	seq70828
seq70691	seq70781
seq70691	seq70782
seq83907	seq83907
seq83907	seq83906
seq84579	seq84579
seq84579	seq84580
seq84579	seq84676
seq84579	seq84677
seq84579	seq84535
seq84579	seq84536
seq84579	seq73947
seq84835	seq84835
seq84835	seq84802
seq84835	seq84803
seq84835	seq84836
seq85219	seq85219
seq85219	seq85218
seq85539	seq85539
seq85923	seq85923
seq85923	seq85832
seq85923	seq85836
seq86147	seq86147
seq86147	seq86304
seq86147	seq10539
seq86147	seq86225
seq86147	seq86289
seq86147	seq86244
seq86275	seq86275
seq86275	seq86206
seq86627	seq86627
seq86627	seq86626
seq86659	seq86659
seq87043	seq87043
seq87043	seq87044
seq87043	seq48586
seq87043	seq48587
seq93539	seq93539
seq93731	seq93731
seq93731	seq93732
seq93731	seq93712
seq93731	seq93713
seq93731	seq93778
seq93731	seq93849
seq93731	seq93850
seq93987	seq93987
seq93987	seq93907
seq93987	seq93986
seq93987	seq93908
seq93987	seq94044
seq93987	seq94045
seq94307	seq94307
seq94307	seq94196
seq94307	seq46156
seq94339	seq94339
seq94403	seq94403
seq94403	seq94426
seq94403	seq115140
seq94403	seq115108
seq94403	seq115238
seq94403	seq115277
seq94403	seq115158
seq94403	seq115320
seq94403	seq115102
seq94403	seq61291
seq94403	seq32396
seq94403	seq32367
seq94403	seq94479
seq94403	seq61427
seq94403	seq94493
seq94435	seq94435
seq94435	seq94434
seq94435	seq94467
seq94435	seq94468
seq94435	seq94431
seq94531	seq94531
seq94531	seq94550
seq94531	seq94551
seq94819	seq94819
seq94819	seq98286
seq94819	seq44561
seq94819	seq47768
seq94819	seq47767
seq94819	seq158317
seq94819	seq212877
seq94819	seq212878
seq94851	seq94851
seq94851	seq6375
seq94851	seq94953
seq94851	seq6698
seq94851	seq177394
seq95299	seq95299
seq95427	seq95427
seq95523	seq95523
seq95523	seq95394
seq95523	seq95531
seq95523	seq95533
seq95523	seq95451
seq95523	seq95517
seq96099	seq96099
seq96099	seq96100
seq96099	seq58932
seq96099	seq58933
seq96195	seq96195
seq96195	seq96194
seq96195	seq11620
seq96195	seq11621
seq96195	seq11484
seq96195	seq11485
seq96195	seq29223
seq96195	seq29190
seq96195	seq29159
seq96195	seq29191
seq96195	seq29160
seq96195	seq29224
seq96195	seq145296
seq96195	seq96385
seq96195	seq96386
seq96195	seq169346
seq96195	seq169347
seq96195	seq96293
seq96195	seq96294
seq96195	seq145295
seq96195	seq145234
seq96195	seq145235
seq96195	seq145300
seq96195	seq145301
seq96195	seq169303
seq96195	seq169304
seq96195	seq169337
seq96195	seq169338
seq96195	seq169212
seq96195	seq169213
seq96195	seq35826
seq96195	seq171264
seq96195	seq74369
seq96195	seq74370
seq96195	seq8995
seq96195	seq133540
seq96195	seq133541
seq96195	seq218278
seq96195	seq171207
seq96195	seq171208
seq96195	seq175176
seq96195	seq74347
seq96195	seq201963
seq96195	seq74284
seq96195	seq74348
seq96195	seq74285
seq96195	seq102894
seq96195	seq102895
